LABEL,author,year,title,property,fibre,matrix,fvf,material_type,ply_type,layup,rate_units,property_units,URL,data_source,n_repetitions,rate,property_mean,property_stdv,specimen_design,exp_setup,data_reduction,curve_fit,comments
,,,,,,,,,,,,,,,4,24.45425,4841.69,201.5295236,40 x 25 mm x ply thickness,Instron VHS 160/100-20 servo-hydraulic,Fibre stiffness extracted assuming no contribution from matrix,0,"servo-hydraulic test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
,,,,,,,,,,,,,,,4,54.775,5108.4425,267.543511,40 x 25 mm x ply thickness,Instron VHS 160/100-20 servo-hydraulic,Fibre stiffness extracted assuming no contribution from matrix,0,"servo-hydraulic test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
,,,,,,,,,,,,,,,3,83.40633333,5599.61,277.8418478,40 x 25 mm x ply thickness,Instron VHS 160/100-20 servo-hydraulic,Fibre stiffness extracted assuming no contribution from matrix,0,"servo-hydraulic test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
,,,,,,,,,,,,,,,3,146.4933333,5381.503333,116.4627221,40 x 25 mm x ply thickness,Instron VHS 160/100-20 servo-hydraulic,Fibre stiffness extracted assuming no contribution from matrix,0,"servo-hydraulic test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
Al-Zubaidy (2013),Al-Zubaidy,2013,Mechanical characterisation of the dynamic tensile properties of CFRP sheet and adhesive at medium strain rates,X_t,CF130,Araldite 420,,CFRP,UD,[0]2,1/s,MPa,https://doi.org/10.1016/j.compstruct.2012.09.032,table,5,0.000242,1934.82,84.551634,138 x 15 x 0.876 mm,Instron hydraulic,,0,"drop-tower test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,31.32,2108.61,105.641361,40 x 15 x 0.876 mm,Drop-weight,,0,"drop-tower test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,42.02,2225.99,86.368412,40 x 15 x 0.876 mm,Drop-weight,,0,"drop-tower test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,54.2,2334.65,255.87764,40 x 15 x 0.876 mm,Drop-weight,,0,"drop-tower test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,67.2,2420.5,115.45785,40 x 15 x 0.876 mm,Drop-weight,,0,"drop-tower test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,87.4,2767.22,222.207766,40 x 15 x 0.876 mm,Drop-weight,,0,"drop-tower test for high rate loading, unreliable stiffness and strength increase for carbon fiber"
Al-Mosawe (2017),Al-Mosawe,2017,Engineering properties of CFRP laminate under high strain rates,X_t,CFK 150/2000,Epoxy,,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/j.compstruct.2017.08.005,table,5,2.20E-04,2854,67.2941305,150 x 20 mm x laminate thickness,MTS 250 kN servo-hydraulic,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,67,3567,50.24440267,50 x 20 mm x laminate thickness,Drop-weight,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,86,4149,21.27204739,50 x 20 mm x laminate thickness,Drop-weight,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,100,4443,34.99285641,50 x 20 mm x laminate thickness,Drop-weight,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
Al-Mosawe (2017),Al-Mosawe,2017,Engineering properties of CFRP laminate under high strain rates,X_t,CFK 200/2000,Epoxy,,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/j.compstruct.2017.08.005,table,5,2.20E-04,2861,55.47792354,150 x 20 mm x laminate thickness,MTS 250 kN servo-hydraulic,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,67,3578,24.01041441,50 x 20 mm x laminate thickness,Drop-weight,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,86,4151,10.19803903,50 x 20 mm x laminate thickness,Drop-weight,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,100,4487,11.44552314,50 x 20 mm x laminate thickness,Drop-weight,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
Al-Mosawe (2017),Al-Mosawe,2017,Engineering properties of CFRP laminate under high strain rates,X_t,MBrace 460/1500,Epoxy,,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/j.compstruct.2017.08.005,table,5,2.20E-04,1602,8.203657721,150 x 20 mm x laminate thickness,MTS 250 kN servo-hydraulic,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,67,1967,26.66458325,50 x 20 mm x laminate thickness,Drop-weight,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,86,2263,11.42365966,50 x 20 mm x laminate thickness,Drop-weight,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
,,,,,,,,,,,,,,,5,100,2394,14.31782106,50 x 20 mm x laminate thickness,Drop-weight,,0,"drop-tower test for high rate loading, unreliable strength increase for carbon fiber"
Orton (2014),Orton,2014,Strain Rate Effects in CFRP Used For Blast Mitigation,X_t,Tyfo SCH-41,Tyfo S Epoxy,,CFRP,UD,UD,1/s,MPa,https://doi.org/10.3390/polym6041026,table,1,0.01,997,,200 x 76 x 1 mm,hydraulic,,0,decreasing strength for carbon fiber indicating possible change in failure modes between static and dynamic tests 
,,,,,,,,,,,,,,,3,1.1,972,195.7319596,200 x 76 x 1 mm,hydraulic,,0,decreasing strength for carbon fiber indicating possible change in failure modes between static and dynamic tests 
,,,,,,,,,,,,,,,4,3.1625,667.5,129.878148,200 x 76 x 1 mm,hydraulic,,0,decreasing strength for carbon fiber indicating possible change in failure modes between static and dynamic tests 
,,,,,,,,,,,,,,,11,4.935454545,828.0909091,102.7272647,200 x 76 x 1 mm,hydraulic,,0,decreasing strength for carbon fiber indicating possible change in failure modes between static and dynamic tests 
,,,,,,,,,,,,,,,2,7.35,971,234.7594514,200 x 76 x 1 mm,hydraulic,,0,decreasing strength for carbon fiber indicating possible change in failure modes between static and dynamic tests 
Powell (2017),Powell,2017,High Strain Rate Mechanical Characterization of Carbon Fiber Reinforced Polymer Composites Using Digital Image Correlations,X_t,DowAksa (A-42 24K),Epoxy,0.5,CFRP,UD,[0]12,1/s,MPa,https://doi.org/10.4271/2017-01-0230,table,3,0.0001,1698,32.262,9.53 x 2 x 2.53 mm,servo-hydraulic,,1,
,,,,,,,,,,,,,,,3,0.01,1787,78.628,9.53 x 2 x 2.53 mm,servo-hydraulic,,1,
,,,,,,,,,,,,,,,2,0.5,1828,43.872,9.53 x 2 x 2.53 mm,servo-hydraulic,,1,
Powell (2017),Powell,2017,High Strain Rate Mechanical Characterization of Carbon Fiber Reinforced Polymer Composites Using Digital Image Correlations,Y_t,DowAksa (A-42 24K),Epoxy,0.5,CFRP,UD,[0]12,1/s,MPa,https://doi.org/10.4271/2017-01-0230,table,2,0.01,55,4,9.53 x 2 x 2.53 mm,servo-hydraulic,,0,reference quasi-static loading rate is too high for comparison with other collected data
,,,,,,,,,,,,,,,2,1,57,1,9.53 x 2 x 2.53 mm,servo-hydraulic,,0,reference quasi-static loading rate is too high for comparison with other collected data
,,,,,,,,,,,,,,,2,100,78,11,9.53 x 2 x 2.53 mm,servo-hydraulic,,0,reference quasi-static loading rate is too high for comparison with other collected data
Taniguchi (2007),Taniguchi,2007,Tensile strength of unidirectional CFRP laminate under high strain rate,Y_t,T700,2500 (Toray Industries),0.67,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1163/156855107780918937,table,,QS,63.1,,55 x 5 x 0.125/2 mm,,,1,
,,,,,,,,,,,,,,,,50,68.1,,55 x 5 x 0.125/2 mm,SHTB,,1,
,,,,,,,,,,,,,,,,100,74.4,,55 x 5 x 0.125/2 mm,SHTB,,1,
Taniguchi (2007),Taniguchi,2007,Tensile strength of unidirectional CFRP laminate under high strain rate,S_12,T700,2500 (Toray Industries),0.67,CFRP,UD,"[+45,-45]NS",1/s,MPa,https://doi.org/10.1163/156855107780918937,table,,QS,51.3,,55 x 5 x 0.125/2 mm,,,0,"excessive shear modulus and strength increase at high loading rate,  possibly caused by fibre rotation effects in ±45 tension test"
,,,,,,,,,,,,,,,,50,69.6,,55 x 5 x 0.125/2 mm,SHTB,,0,"excessive shear modulus and strength increase at high loading rate,  possibly caused by fibre rotation effects in ±45 tension test"
,,,,,,,,,,,,,,,,100,91.1,,55 x 5 x 0.125/2 mm,SHTB,,0,"excessive shear modulus and strength increase at high loading rate,  possibly caused by fibre rotation effects in ±45 tension test"
Yokoyama (2008),Yokoyama,2008,Impact Compressive Failure of a Unidirectional Carbon/Epoxy Composite: Effect of Loading Directions,X_c,T700,2521,0.65,CFRP,UD,UD,1/s,MPa,https://doi.org/10.4028/www.scientific.net/AMM.13-14.195,plot,5,0.002,840,52.37580058,16 x 8 x 8 mm,Instron,,0,"decrease in strength at dynamic intermediate loading rate, failure modes may not be comparable between static and dynamic tests"
,,,,,,,,,,,,,,,5,0.1,716.9230769,41.26709573,16 x 8 x 8 mm,Instron,,0,"decrease in strength at dynamic intermediate loading rate, failure modes may not be comparable between static and dynamic tests"
,,,,,,,,,,,,,,,5,600,881.7094017,100.043091,8 x 8 x 8 mm,SHPB,,0,"decrease in strength at dynamic intermediate loading rate, failure modes may not be comparable between static and dynamic tests"
Yokoyama (2008),Yokoyama,2008,Impact Compressive Failure of a Unidirectional Carbon/Epoxy Composite: Effect of Loading Directions,Y_c,T700,2521,0.65,CFRP,UD,UD,1/s,MPa,https://doi.org/10.4028/www.scientific.net/AMM.13-14.195,plot,4,0.002,171.1843712,18.28949517,16 x 8 x 8 mm,Instron,,1,
,,,,,,,,,,,,,,,4,0.1,190.5982906,29.19359193,16 x 8 x 8 mm,Instron,,1,
,,,,,,,,,,,,,,,6,800,230.2808303,43.08364129,8 x 8 x 8 mm,SHPB,,1,
Koerber (2011),Koerber,2011,High strain rate characterisation of unidirectional carbon–epoxy IM7-8552 in longitudinal compression,X_c,IM7,Hexcel 8552,0.55-0.6,CFRP,UD,[0]32,1/s,MPa,https://doi.org/10.1016/j.compositesa.2011.01.002,table,5,0.00036,1017,53,20 x 10 x 4 mm,screw-driven,,1,
,,,,,,,,,,,,,,,5,93,1417,33,20 x 10 x 4 mm,SHPB,,1,
Wiegand (2008),Wiegand,2008,Constitutive modelling of composite materials under impact loading,Y_c,UTS,RTM-6,,CFRP,UD,"[0,(90)8]S",1/s,MPa,https://ora.ox.ac.uk/objects/uuid:a69dfe4c-32d4-46ed-af12-d1a9c200f2df,table,2,0.0001,168,6.4,60 x 5.6 x 2.5 mm,scew-driven,,1,
,,,,,,,,,,,,,,,2,3.7,185,1.4,60 x 5.6 x 2.5 mm,hydraulic,,1,
,,,,,,,,,,,,,,,5,970,254,23.9,60 x 5.6 x 2.5 mm,SHPB,,1,
Wiegand (2008),Wiegand,2008,Constitutive modelling of composite materials under impact loading,X_c,T700,MTM44,,CFRP,UD,UD,1/s,MPa,https://ora.ox.ac.uk/objects/uuid:a69dfe4c-32d4-46ed-af12-d1a9c200f2df,table,4,0.0000842,477.8,58.8,30 x 10 x 3 mm,scew-driven,,1,
,,,,,,,,,,,,,,,5,1.33,573.4,46,30 x 10 x 3 mm,hydraulic,,1,
,,,,,,,,,,,,,,,5,361.9,672.8,59.9,30 x 10 x 3 mm,SHPB,,1,
Cui (2016),Cui,2016,Effect of strain rate and fibre rotation on the in-plane shear response of ±45° laminates in tension and compression tests,S_12,IM7,Hexcel 8552,55-60%,CFRP,UD,"[0,90]4S",1/s,MPa,https://doi.org/10.1016/j.compscitech.2016.09.016,plot,8,0.0005,87.4,1.66,8 x 5 x 2 mm,screw-driven,,1,
,,,,,,,,,,,,,,,8,300,135.1,2.46,8 x 5 x 2 mm,"SHPB, SHTB",,1,"reported strain rate of 2500 s-1 was during nonlinear stress-strain region with significant plastic strains and fibre rotation, therefore the strain rate during the initial elastic loading has been used instead"
Thomson (2020),Thomson,2020,Strain-rate and off-axis loading effects on the fibre compression strength of CFRP laminates: Experiments and constitutive modelling,X_c,IM7,Hexcel 8552,55-60%,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/j.compscitech.2020.108210,table,3,0.001,792,50.6,8 x 5 x 2 mm,screw-driven,,1,
,,,,,,,,,,,,,,,3,75,938,43.1,30 x 4 x 4 mm,SHPB,,1,
Thomson (2017),Thomson,2017,Experimental and numerical study of strain-rate effects on the IFF fracture angle using a new efficient implementation of Puck’s criterion,Y_c,IM7,Hexcel 8552,55-60%,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/j.compstruct.2017.08.084,plot,3,0.001,248.7,5.5,16 x 8 x 5 mm,screw-driven,,1,
,,,,,,,,,,,,,,,5,246,400.6,22.1,16 x 8 x 5 mm,SHPB,,1,
Ploeckl (2017),Ploeckl,2017,A dynamic test methodology for analyzing the strain-rate effect on the longitudinal compressive behavior of fiber-reinforced composites,X_c,IM7,Hexcel 8552,55-60%,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/j.compstruct.2017.08.048,table,5,0.00083,1194,63,110 x 8 x 2 mm,screw-driven,,1,
,,,,,,,,,,,,,,,5,63,1681,86,110 x 8 x 2 mm,SHPB,,1,
Ploeckl (2017),Ploeckl,2017,A dynamic test methodology for analyzing the strain-rate effect on the longitudinal compressive behavior of fiber-reinforced composites,X_c,IM7,Hexcel 8552,55-60%,CFRP,UD,"[(90,0,45-45)2]2S",1/s,MPa,https://doi.org/10.1016/j.compstruct.2017.08.048,table,5,0.00083,539,50,110 x 8 x 2 mm,screw-driven,,1,
,,,,,,,,,,,,,,,5,119,774,24,110 x 8 x 2 mm,SHPB,,1,
Ploeckl (2017),Ploeckl,2017,A dynamic test methodology for analyzing the strain-rate effect on the longitudinal compressive behavior of fiber-reinforced composites,X_c,Carbon,PA6,0.6,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/j.compstruct.2017.08.048,table,5,0.00083,626,52,110 x 8 x 2 mm,screw-driven,,1,
,,,,,,,,,,,,,,,5,82,999,61,110 x 8 x 2 mm,SHPB,,1,
Weng (2021),Weng,2021,Effect of high strain rate on shear properties of carbon fiber reinforced composites,S_12,T800,bismaleimide ,,CFRP,UD,"[+45,-45]NS",1/s,MPa,https://doi.org/10.1016/j.compscitech.2020.108599,table,,0.001,91.39,3.02,130 x 6 x 2 mm,UTM,,1,
,,,,,,,,,,,,,,,,800,126.73,6.84,130 x 6 x 2 mm,servo-hydraulic,,1,
,,,,,,,,,,,,,,,,1600,122.76,7.36,130 x 6 x 2 mm,servo-hydraulic,,1,
,,,,,,,,,,,,,,,,2500,129.65,1.85,130 x 6 x 2 mm,servo-hydraulic,,1,
Koerber (2010),Koerber,2010,High strain rate characterisation of unidirectional carbon-epoxy IM7-8552 in transverse compression and in-plane shear using digital image correlation,S_12,IM7,Hexcel 8552,55-60%,CFRP,UD,[45]32,1/s,MPa,https://doi.org/10.1016/j.mechmat.2010.09.003,table,3,0.0001,127,5,20 x 10 x 4 mm,screw-driven,,1,
,,,,,,,,,,,,,,,3,270,177,1.5,20 x 10 x 4 mm,SHPB,,1,
Thomson (2017),Thomson,2017,Experimental and numerical study of strain-rate effects on the IFF fracture angle using a new efficient implementation of Puck’s criterion,S_12,IM7,Hexcel 8552,55-60%,CFRP,UD,[45]N,1/s,MPa,https://doi.org/10.1016/j.compstruct.2017.08.084,plot,3,0.001,118.2,5.65,16 x 8 x 5 mm,screw-driven,,1,
,,,,,,,,,,,,,,,5,256,197.8,14.7,16 x 8 x 5 mm,SHPB,,1,
Yokoyama (2004),Yokoyama,2004,High Strain-Rate Compressive Characteristics of Carbon/Epoxy Laminated Composites in Through-Thickness Direction,Z_c,T700s,2521,0.54,CFRP,UD,[0]16,1/s,MPa,https://doi.org/10.4028/www.scientific.net/AMM.1-2.11,plot,,0.02,165.9,,"cylinder L=3.85mm, D=8 mm",Instron Model 4505,,0,"excessive strength and stiffness increase for transverse compression strength, possible inertia effects from use of SHB at very high strain rates"
,,,,,,,,,,,,,,,,1,178.7,,"cylinder L=3.85mm, D=8 mm",Instron Model 4505,,0,"excessive strength and stiffness increase for transverse compression strength, possible inertia effects from use of SHB at very high strain rates"
,,,,,,,,,,,,,,,,1200,272.3,,"cylinder L=3.85mm, D=8 mm",SHPB,,0,"excessive strength and stiffness increase for transverse compression strength, possible inertia effects from use of SHB at very high strain rates"
Yokoyama (2004),Yokoyama,2004,High Strain-Rate Compressive Characteristics of Carbon/Epoxy Laminated Composites in Through-Thickness Direction,Z_c,T700s,2500,0.67,CFRP,UD,CP,1/s,MPa,https://doi.org/10.4028/www.scientific.net/AMM.1-2.11,plot,,0.02,787.23,,"cylinder L=3.85mm, D=8 mm",Instron Model 4505,,0,"excessive strength and stiffness increase for transverse compression strength, possible inertia effects from use of SHB at very high strain rates"
,,,,,,,,,,,,,,,,1,782.9,,"cylinder L=3.85mm, D=8 mm",Instron Model 4505,,0,"excessive strength and stiffness increase for transverse compression strength, possible inertia effects from use of SHB at very high strain rates"
,,,,,,,,,,,,,,,,1200,736.2,,"cylinder L=3.85mm, D=8 mm",SHPB,,0,"excessive strength and stiffness increase for transverse compression strength, possible inertia effects from use of SHB at very high strain rates"
Blitterswyk (2018),Blitterswyk,2018,Image-Based Inertial Impact Test for Composite Interlaminar Tensile Properties,Z_t,AS4-145,MTM45-1,,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1007/s40870-018-0175-1,table,,QS,50.4,,,,,1,
,,,,,,,,,,,,,,,,4700,115.2,16.5,17.9 × 12.1 × 2.6 mm,Inertial impact,,1,
Fletcher (2019),Fletcher,2019,A Novel Image-Based Inertial Impact Test (IBII) for the Transverse Properties of Composites at High Strain Rates,Y_t,Carbon,Gurit SE-70 Epoxy,0.55,CFRP,UD,UD,1/s,MPa,https://doi.org/10.1007/s40870-019-00186-y,table,,QS,36.9,3.32,70 × 45 × 4.75 mm,Instron,,1,
,,,,,,,,,,,,,,,,2000,58,6,70 × 45 × 4.75 mm,Inertial impact,,1,
Shokrieh (2011),Shokrieh,2011,Investigating the transverse behavior of Glass–Epoxy composites under intermediate strain rates,Y_t,Glass,ML-560 Epoxy,,GFRP,UD,[0]9,1/s,MPa,https://doi.org/10.1016/j.compstruct.2010.08.010,table,5,0.0017,48.57,,82.7 x 20 x 1.82 mm,servohydraulic,,1,
,,,,,,,,,,,,,,,5,0.53,56.5,,82.7 x 20 x 1.82 mm,servohydraulic,,1,
,,,,,,,,,,,,,,,5,5.31,59.38,,82.7 x 20 x 1.82 mm,servohydraulic,,1,
,,,,,,,,,,,,,,,5,45.48,62.9,,82.7 x 20 x 1.82 mm,servohydraulic,,1,
,,,,,,,,,,,,,,,5,84.51,68.66,,82.7 x 20 x 1.82 mm,servohydraulic,,1,
Okoli (2000),Okoli,2000,The effect of strain rate and fibre content on the Poisson’s ratio of glass/epoxy composites,Y_t,10G,40 Epoxy,,GFRP,woven,18 plies,1/s,MPa,https://doi.org/10.1016/S0263-8223(99)00089-6,table,,0.0106,299,,200 x 15 x 3 mm,screw-driven,,1,
,,,,,,,,,,,,,,,,0.0586,325,,201 x 15 x 3 mm,screw-driven,,1,
,,,,,,,,,,,,,,,,0.109,304,,202 x 15 x 3 mm,screw-driven,,1,
,,,,,,,,,,,,,,,,0.553,342,,203 x 15 x 3 mm,screw-driven,,1,
Okoli (2000),Okoli,2000,The effect of strain rate and fibre content on the Poisson’s ratio of glass/epoxy composites,Y_t,10G,40 Epoxy,,GFRP,woven,18 plies,1/s,MPa,https://doi.org/10.1016/S0263-8223(99)00089-6,table,,0.0363,375,,204 x 15 x 3 mm,hydraulic,,1,
,,,,,,,,,,,,,,,,0.281,403,,205 x 15 x 3 mm,hydraulic,,1,
,,,,,,,,,,,,,,,,1.52,412,,206 x 15 x 3 mm,hydraulic,,1,
,,,,,,,,,,,,,,,,2.72,444,,207 x 15 x 3 mm,hydraulic,,1,
Shokrieh (2011),Shokrieh,2011,Investigating the transverse behavior of Glass–Epoxy composites under intermediate strain rates,Y_c,Glass,ML-560,,GFRP,UD,[0]15,1/s,MPa,https://doi.org/10.1016/j.compstruct.2010.08.010,table,5,0.0017,107.96,,82.7 x 20 x 3.1 mm,servohydraulic,,1,
,,,,,,,,,,,,,,,5,0.533,110.07,,82.7 x 20 x 3.1 mm,servohydraulic,,1,
,,,,,,,,,,,,,,,5,5.34,113.31,,82.7 x 20 x 3.1 mm,servohydraulic,,1,
,,,,,,,,,,,,,,,5,45.94,123.93,,82.7 x 20 x 3.1 mm,servohydraulic,,1,
,,,,,,,,,,,,,,,5,83.8,141.83,,82.7 x 20 x 3.1 mm,servohydraulic,,1,
Naik (2008),Naik,2008,High strain rate behavior of woven fabric composites under compressive loading,Y_c,E-Glass,LY556,,GFRP,woven,,1/s,MPa,https://doi.org/10.1016/j.msea.2007.05.032,table,,QS,204,,"Cylinder L=6 mm, D=8 mm",,,1,
,,,,,,,,,,,,,,,,787,262,,"Cylinder L=6 mm, D=8 mm",SHPB,,1,
,,,,,,,,,,,,,,,,1178,291,,"Cylinder L=6 mm, D=8 mm",SHPB,,1,
,,,,,,,,,,,,,,,,1460,334,,"Cylinder L=6 mm, D=8 mm",SHPB,,1,
,,,,,,,,,,,,,,,,1917,364,,"Cylinder L=6 mm, D=8 mm",SHPB,,1,
Harding (1983),Harding,1983,A tensile testing technique for fibre-reinforced composites at impact rates of strain,X_t,Permaglass 22FE,R7H (modified bisphenol A epoxy similar to Araldite MY750),,GFRP,UD,UD,1/s,MPa,https://doi.org/10.1007/BF00542078,table,5,0.0001,348,35,57 x 9.5 x 2 mm,SHTB,,1,
,,,,,,,,,,,,,,,5,23,592,54,57 x 9.5 x 2 mm,SHTB,,1,
,,,,,,,,,,,,,,,4,870,899,28,57 x 9.5 x 2 mm,SHTB,,1,
Adams (1990),Adams,1990,Tensile Impact Tests of AS4/3501-6 and S2/3501-6 Unidirectional Composites and the 3501-6 Epoxy Matrix,X_t,S2-Glass,Hercules 3501-6,0.68,GFRP,UD,UD,1/s,MPa,https://doi.org/10.1177/002199839002400302,table,4,0.003,1802,76,200 x 12.7 x 0.6 mm ,Instron Model 1125,,1,
,,,,,,,,,,,,,,,6,21.4,1875,151,200 x 12.7 x 0.6 mm ,Pendulum,,1,
,,,,,,,,,,,,,,,5,31.1,1901,163,200 x 12.7 x 0.6 mm ,Pendulum,,1,
,,,,,,,,,,,,,,,7,49.2,1982,113,200 x 12.7 x 0.6 mm ,Pendulum,,1,
Adams (1990),Adams,1990,Tensile Impact Tests of AS4/3501-6 and S2/3501-6 Unidirectional Composites and the 3501-6 Epoxy Matrix,X_t,S2-Glass,Hercules 3501-6,0.54,GFRP,UD,UD,1/s,MPa,https://doi.org/10.1177/002199839002400302,table,5,0.003,1466,95,200 x 12.7 x 0.6 mm ,Instron Model 1125,,1,
,,,,,,,,,,,,,,,4,20.9,1517,118,200 x 12.7 x 0.6 mm ,Pendulum,,1,
,,,,,,,,,,,,,,,6,30.3,1620,75,200 x 12.7 x 0.6 mm ,Pendulum,,1,
,,,,,,,,,,,,,,,6,48,1653,130,200 x 12.7 x 0.6 mm ,Pendulum,,1,
Thiruppukuzhi (2001),Thiruppukuzhi,2001,Models for the strain-rate-dependent behavior of polymer composites,Y_t,S2-Glass,8553-40,,GFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/S0266-3538(00)00133-0,plot,,0.0001,46.03216166,,"100 x 17,8 mm",servohydraulic  ,,1,
,,,,,,,,,,,,,,,,0.01,52.38413406,,"100 x 17,8 mm",servohydraulic  ,,1,
,,,,,,,,,,,,,,,,1,61.11166289,,"100 x 17,8 mm",servohydraulic  ,,1,
Lee (2000),Lee,2000,Impact energy absorption characteristics of composite structures,X_c,Glass,Epoxy,0.6,GFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/S0263-8223(00)00117-3,plot,1,0.01,695.9,,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,9,2.603526843,829.1433791,74.44351498,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,12,8.04138151,972.2340746,82.09333619,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,5,20.47794322,1006.996411,142.4331561,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,7,30.18416936,1157.480596,110.0070873,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,7,49.16502797,1149.098987,152.9592441,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,3,60.41975008,1194.619983,138.5911871,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,6,69.63016605,1313.085021,196.1240932,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,6,87.44711245,1421.068618,132.5990853,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,4,109.4860299,1529.139596,246.073551,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,3,160.5319758,1401.544587,114.3948184,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,1,199.9626008,1500.439797,,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,2,249.8332534,2274.235838,211.4285799,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,3,416.8019879,2829.893444,352.8230562,60 x 3 x 0.5 mm ,servohydraulic + strain-rate-increase mechanism,,1,
Lee (2000),Lee,2000,Impact energy absorption characteristics of composite structures,X_t,Glass,Epoxy,0.6,GFRP,UD,UD,1/s,MPa,https://doi.org/10.1016/S0263-8223(00)00117-3,plot,1,0.01,1094.63,,60 x 3 x 0.2 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,17,2.544723626,1689.747352,170.868362,61 x 3 x 0.2 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,13,7.970517116,1863.398253,161.8226256,62 x 3 x 0.2 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,9,18.41520235,1974.559596,237.3909349,63 x 3 x 0.2 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,4,31.93209786,2117.250297,204.9183542,64 x 3 x 0.2 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,3,49.32304022,2211.478979,278.3256775,65 x 3 x 0.2 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,2,60.13309807,2116.160748,319.1467546,66 x 3 x 0.2 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,4,71.53142023,2249.538018,171.09628,67 x 3 x 0.2 mm ,servohydraulic + strain-rate-increase mechanism,,1,
,,,,,,,,,,,,,,,5,78.19955749,2340.739309,335.0423812,68 x 3 x 0.2 mm ,servohydraulic + strain-rate-increase mechanism,,1,
